TF	SWI/SNF	Mediator	POLII	TFIIF	TFIID	BRD4	TFIIH	TFIIB	TFIIE
AHRR	1	0	0	0	0	1	1	0	0
AKAP8	1	0	1	0	0	0	1	0	0
ANKZF1	1	1	0	0	0	0	0	0	0
AR	1	1	1	1	1	1	1	0	0
ARID2	1	0	0	0	1	0	0	0	0
ARNT	1	0	0	1	1	0	0	0	0
ATF2	1	0	0	1	0	1	1	0	0
ATF3	1	0	0	0	0	0	0	0	0
BACH2	1	0	1	0	0	0	0	0	0
CDC5L	1	1	1	1	1	1	0	0	0
CENPA	1	0	1	0	1	0	0	0	0
CHCHD3	1	0	0	0	0	0	0	0	0
DMRT2	1	0	0	0	0	0	0	0	0
DNMT1	1	0	0	1	0	1	0	0	0
ERG	1	0	1	0	0	1	0	0	0
ESR1	1	1	1	1	1	0	1	1	1
ESR2	1	1	0	0	0	0	0	0	0
GATA4	1	1	1	0	1	0	0	0	0
GLI3	1	1	0	0	1	0	0	0	0
GTF2B	1	1	1	1	1	1	1	0	1
HIVEP2	1	0	0	0	0	0	0	0	0
HNF1A	1	1	0	0	0	0	0	0	1
HOXB5	1	0	1	0	0	0	0	0	0
JUN	1	1	1	1	1	1	1	0	1
KMT2B	1	1	0	0	1	0	0	0	0
LMX1B	1	0	0	0	0	0	0	0	0
MYC	1	1	1	1	1	1	1	0	0
NFKB1	1	0	1	0	1	1	0	0	0
NFYC	1	1	0	0	1	0	0	0	0
NME2	1	0	1	0	1	0	0	0	0
NR4A1	1	1	0	0	1	0	0	0	0
NR5A1	1	1	0	0	0	0	0	0	0
PA2G4	1	1	0	0	1	1	0	0	0
PBX1	1	1	1	0	0	0	0	0	0
PBX2	1	1	0	0	0	0	0	0	0
PKNOX1	1	0	1	0	0	0	0	0	0
RARA	1	1	1	0	1	0	1	0	0
SKI	1	0	0	0	0	0	0	0	0
SMAD3	1	1	1	0	1	1	0	0	0
SMAD9	1	0	0	0	0	0	1	0	0
SOX6	1	0	0	0	1	0	0	0	0
SRCAP	1	0	1	1	1	0	1	0	0
SRF	1	1	0	1	0	0	0	0	0
STAT1	1	0	1	0	0	1	1	0	0
TBP	1	1	1	1	1	1	1	0	1
TBPL1	1	1	1	1	1	0	1	0	1
TBPL2	1	1	1	1	1	0	1	0	1
TP53	1	1	1	0	1	1	1	0	0
YBX1	1	0	1	1	1	0	1	0	0
YBX3	1	0	0	0	1	1	1	0	0
YY1	1	1	1	0	1	1	0	0	0
YY2	1	0	0	0	0	0	0	0	0
ZBTB1	1	0	0	0	0	0	0	0	0
ZNF354A	1	1	1	0	0	0	1	0	0
ZNF598	1	0	0	0	0	0	0	0	0
ZNF703	1	1	1	0	0	0	0	0	1
AKAP8L	1	0	1	0	1	0	1	0	0
DPF3	1	0	0	0	1	0	0	0	0
FOXN1	1	0	0	0	1	0	0	0	0
FOXO6	1	0	0	0	0	0	0	0	0
FOXR1	1	0	0	0	0	0	0	0	0
GTF2I	1	0	1	0	1	1	1	0	0
MAX	1	1	1	0	1	1	1	0	0
NFKB2	1	0	1	0	0	0	0	0	0
POU5F1	1	0	0	0	1	1	1	0	1
POU5F1B	1	0	0	0	1	1	0	0	1
RELA	1	1	1	0	1	1	0	0	0
RELB	1	0	0	0	1	0	0	0	0
SALL1	1	0	1	0	0	0	0	0	0
SALL3	1	0	1	0	0	0	0	0	0
SALL4	1	0	1	0	0	0	0	0	0
SOX2	1	1	1	0	1	0	0	0	0
TCF3	1	1	0	0	1	0	0	0	0
TCF4	1	0	1	0	1	0	0	0	0
TFCP2	1	1	1	0	1	1	0	0	0
TFCP2L1	1	1	1	0	1	1	0	0	0
UBP1	1	1	1	0	1	1	0	0	0
VDR	1	1	0	0	1	0	1	0	0
ZNF121	1	0	1	0	0	0	1	0	0
ZNF281	1	1	1	0	0	1	1	0	0
GLI2	1	1	1	0	1	0	0	0	0
ADNP	1	0	0	0	0	1	0	0	0
AHCTF1	0	1	1	0	0	1	0	0	0
AHR	1	1	0	1	1	0	0	0	0
AIRE	0	0	1	0	0	0	0	0	0
ALX4	0	1	0	0	0	0	0	0	0
ARHGAP35	1	1	0	0	0	0	0	0	0
ARNT2	1	1	0	0	0	0	0	0	0
ATF7	1	1	0	0	1	1	0	0	0
BCL11A	1	1	0	0	0	0	0	0	0
BCL6	1	1	0	0	0	0	0	0	0
DOT1L	1	0	0	0	0	1	0	0	0
E2F3	1	1	1	0	1	1	0	0	0
E2F4	1	1	1	0	1	1	1	0	0
E2F5	1	0	0	0	0	1	0	0	0
EBF1	1	1	0	0	1	0	0	0	0
ELF1	1	1	0	0	0	0	0	0	0
ESRRB	1	1	1	0	1	0	0	0	0
FOXP3	1	1	1	0	1	0	1	1	1
GATA1	1	1	0	0	1	1	0	0	0
HIC1	1	0	0	0	0	0	0	0	0
HOXA6	1	0	1	0	1	0	0	0	0
HSF4	1	1	0	0	1	0	0	0	0
KDM2A	1	1	0	0	0	1	0	0	0
KLF1	1	1	0	0	1	0	1	0	0
NANOG	1	1	1	0	1	0	0	0	0
NCOA1	1	1	0	0	1	0	0	0	0
NKRF	1	1	0	0	0	1	0	0	0
OSR1	1	1	0	0	1	0	0	0	0
PGR	1	1	0	0	1	0	0	0	0
POU2F3	1	1	0	0	0	0	0	0	0
RARB	1	1	1	0	1	0	1	0	0
RARG	1	1	1	0	0	0	0	0	0
RUNX1	1	0	1	0	1	0	0	0	0
