TF1	TF2
ADNP	ADNP2
ADNP	AHDC1
ADNP	BPTF
ADNP	CHAMP1
ADNP	FOXC1
ADNP	FOXE1
ADNP	FOXG1
ADNP	FOXJ2
ADNP	FOXK2
ADNP	FOXQ1
ADNP	FOXS1
ADNP	HNF4A
ADNP	KDM2A
ADNP	KLF8
ADNP	LIN28A
ADNP	MGA
ADNP	MYC
ADNP	MYCN
ADNP	NFATC1
ADNP	NFIA
ADNP	NR2C2
ADNP	PCGF6
ADNP	RBPJ
ADNP	SOX2
ADNP	TEAD2
ADNP	TP53
ADNP	ZNF292
ADNP	ZNF524
ADNP	ZNF581
ADNP	ZNF597
ADNP	ZNF644
ADNP	ZSCAN20
ADNP2	AHDC1
ADNP2	CHAMP1
ADNP2	NFYC
ADNP2	SOX7
ADNP2	SRF
ADNP2	ZNF292
ADNP2	ZNF644
AEBP1	NR1I2
AEBP2	ARID2
AEBP2	CBX2
AEBP2	HMBOX1
AEBP2	LCOR
AEBP2	LTF
AEBP2	MTF2
AEBP2	MYCN
AEBP2	PCGF2
AEBP2	PCGF6
AEBP2	PHF1
AEBP2	THAP1
AEBP2	YY1
AEBP2	YY2
AEBP2	ZFP42
AEBP2	ZNF408
AHCTF1	HMGA1
AHCTF1	HMGN3
AHCTF1	MYC
AHCTF1	NR2C2
AHCTF1	TP53
AHDC1	CHAMP1
AHDC1	CSRNP1
AHDC1	IKZF5
AHDC1	SOX2
AHDC1	ZNF280D
AHDC1	ZNF324B
AHDC1	ZNF644
AHR	AHRR
AHR	AR
AHR	ARNT
AHR	ARNT2
AHR	ARNTL
AHR	ARNTL2
AHR	CLOCK
AHR	E2F1
AHR	ESR1
AHR	FOXA1
AHR	MAF
AHR	NCOA1
AHR	NCOA2
AHR	NCOA3
AHR	NFE2L2
AHR	NPAS2
AHR	NR2F1
AHR	RELA
AHR	SMAD4
AHR	SP1
AHR	TBP
AHRR	ARNT
AHRR	ARNT2
AHRR	ARNTL
AHRR	ARNTL2
AHRR	CLOCK
AHRR	ESR1
AHRR	NCOA1
AHRR	NCOA2
AHRR	NCOA3
AHRR	NPAS2
AIRE	GATAD2A
AIRE	GATAD2B
AIRE	MBD2
AIRE	MBD3
AKAP8	AKAP8L
AKAP8	FOXA3
AKAP8	FOXC2
AKAP8	FOXE1
AKAP8	FOXG1
AKAP8	FOXJ2
AKAP8	FOXP3
AKAP8	FOXS1
AKAP8	GATA1
AKAP8	GATA3
AKAP8	KMT2A
AKAP8	KMT2B
AKAP8	L3MBTL1
AKAP8	MYC
AKAP8	MYCN
AKAP8	SP100
AKAP8	SP7
AKAP8	YBX1
AKAP8L	EPAS1
AKAP8L	KLF5
AKAP8L	L3MBTL1
AKAP8L	MYC
AKAP8L	MYCN
AKAP8L	NANOG
AKAP8L	NR2C2
AKAP8L	PURB
AKAP8L	RELA
AKAP8L	SOX2
AKAP8L	SP100
AKAP8L	TP53
AKAP8L	ZBTB2
AKAP8L	ZBTB38
AKAP8L	ZNF211
AKAP8L	ZNF746
ALX1	ALX4
ALX1	NR3C1
ALX1	ZBTB38
ALX1	ZNF300
ALX3	LHX3
ALX3	LHX4
ALX3	PAX6
ALX3	PRRX1
ALX3	VSX1
ALX4	DLX5
ALX4	FOXA1
ALX4	FOXA3
ALX4	FOXE1
ALX4	GATA4
ALX4	HHEX
ALX4	HIC1
ALX4	HOXA3
ALX4	HOXD3
ALX4	LEF1
ALX4	RBPJ
ALX4	SOX10
ALX4	SOX2
ALX4	ZIC2
ANKZF1	STAT6
AR	ARID3B
AR	ARID5A
AR	ARID5B
AR	CEBPA
AR	CEBPB
AR	CUX2
AR	DPF1
AR	E2F1
AR	E2F4
AR	ELF3
AR	ELF5
AR	ERG
AR	ESR1
AR	ESR2
AR	ETS1
AR	ETV1
AR	ETV5
AR	FOXA1
AR	FOXA2
AR	FOXG1
AR	FOXH1
AR	FOXO1
AR	FOXO3
AR	FOXP3
AR	GLI1
AR	GLI2
AR	GLI3
AR	HEY1
AR	HIF1A
AR	HNF4A
AR	HOXB13
AR	JUN
AR	JUND
AR	KAT7
AR	KDM5B
AR	KLF4
AR	KMT2A
AR	LCOR
AR	MAZ
AR	MYCN
AR	MYSM1
AR	NCOA1
AR	NCOA2
AR	NCOA3
AR	NKX3-1
AR	NR0B1
AR	NR2C1
AR	NR2C2
AR	NR3C1
AR	NR3C2
AR	NR4A2
AR	ONECUT2
AR	PA2G4
AR	PATZ1
AR	PAX6
AR	PGR
AR	POU2F1
AR	POU2F2
AR	PPARG
AR	REL
AR	RELA
AR	REST
AR	RREB1
AR	RUNX2
AR	SAFB
AR	SMAD1
AR	SMAD3
AR	SMAD4
AR	SP1
AR	SPDEF
AR	SRCAP
AR	SREBF1
AR	SRY
AR	STAT1
AR	STAT3
AR	TBP
AR	TCF20
AR	TCF7L2
AR	TFAP2A
AR	TFEB
AR	TGIF1
AR	TMF1
AR	TP53
AR	YY1
AR	ZBTB1
AR	ZBTB16
AR	ZBTB32
AR	ZBTB7A
AR	ZNF318
AR	ZNF451
ARHGAP35	BCL6
ARHGAP35	GTF2I
ARHGAP35	PA2G4
ARID2	ARID5B
ARID2	ASH1L
ARID2	BCL11A
ARID2	BCL11B
ARID2	BCL6
ARID2	BCL6B
ARID2	DDIT3
ARID2	DPF1
ARID2	DPF3
ARID2	EGR1
ARID2	FLI1
ARID2	LHX4
ARID2	NFYC
ARID2	NR3C1
ARID2	RUNX1
ARID2	SOX11
ARID2	SOX7
ARID2	SRF
ARID2	TFAP4
ARID2	ZNF23
ARID3A	ARID3B
ARID3A	ARID3C
ARID3A	CEBPB
ARID3A	CXXC1
ARID3A	E2F1
ARID3A	E2F2
ARID3A	E2F4
ARID3A	FOXB1
ARID3A	FOXC1
ARID3A	FOXH1
ARID3A	FOXL1
ARID3A	GATA2
ARID3A	GTF2I
ARID3A	KLF4
ARID3A	MYSM1
ARID3A	NANOG
ARID3A	PRRX2
ARID3A	SOX2
ARID3A	SP100
ARID3A	TEAD4
ARID3A	TP53
ARID3B	ARID3C
ARID3B	CXXC1
ARID3B	FOXB1
ARID3B	FOXE1
ARID3B	FOXH1
ARID3B	FOXL1
ARID3B	HOXB2
ARID3B	IRF9
ARID3B	JUN
ARID3B	LHX6
ARID3B	MYSM1
ARID3B	NANOG
ARID3B	NEUROG3
ARID3B	NR3C1
ARID3B	OVOL1
ARID3B	RBPJ
ARID3B	SALL1
ARID3B	SOX2
ARID3B	SOX7
ARID3B	SRF
ARID3B	TEAD2
ARID3B	TP53
ARID3C	CXXC1
ARID3C	MYSM1
ARID3C	ZNF609
ARID5A	CXXC1
ARID5A	ESR1
ARID5A	ESR2
ARID5A	FOXH1
ARID5A	GATA5
ARID5A	KDM5B
ARID5A	MYSM1
ARID5A	OLIG3
ARID5A	RARA
ARID5A	RHOXF2
ARID5A	RXRA
ARID5A	SOX5
ARID5A	SOX9
ARID5A	THRA
ARID5A	ZNF503
ARID5B	BCL11B
ARID5B	BCL6
ARID5B	CXXC1
ARID5B	MEF2C
ARID5B	MXD1
ARID5B	MYSM1
ARID5B	NR3C1
ARID5B	SOX2
ARID5B	SOX7
ARID5B	SPDEF
ARID5B	VAX1
ARID5B	ZBTB38
ARNT	ARNT2
ARNT	ARNTL
ARNT	ARNTL2
ARNT	BHLHA15
ARNT	CLOCK
ARNT	CREB1
ARNT	EPAS1
ARNT	ESR1
ARNT	ESR2
ARNT	FOXN1
ARNT	FOXR2
ARNT	GLIS1
ARNT	GLIS2
ARNT	HEY1
ARNT	HEY2
ARNT	HIF1A
ARNT	HIF3A
ARNT	HNF4A
ARNT	JUN
ARNT	MYC
ARNT	NANOG
ARNT	NCOA1
ARNT	NCOA2
ARNT	NPAS1
ARNT	NPAS2
ARNT	NPAS3
ARNT	NPAS4
ARNT	NR1I3
ARNT	RBPJ
ARNT	RELA
ARNT	RELB
ARNT	SIM1
ARNT	SIM2
ARNT	SP1
ARNT	TEAD2
ARNT	TP53
ARNT	ZSCAN18
ARNT2	ARNTL
ARNT2	ARNTL2
ARNT2	ASCL1
ARNT2	BCL6
ARNT2	BHLHA15
ARNT2	CLOCK
ARNT2	EPAS1
ARNT2	HIF1A
ARNT2	HIF3A
ARNT2	NCOA3
ARNT2	NEUROD1
ARNT2	NPAS1
ARNT2	NPAS3
ARNT2	NPAS4
ARNT2	SIM1
ARNT2	SIM2
ARNT2	ZNF341
ARNTL	ARNTL2
ARNTL	BCL6B
ARNTL	BHLHE40
ARNTL	BHLHE41
ARNTL	CLOCK
ARNTL	EPAS1
ARNTL	FOS
ARNTL	HIF1A
ARNTL	HIF3A
ARNTL	HNF4A
ARNTL	HOXA11
ARNTL	KLF15
ARNTL	KMT2A
ARNTL	NFE2L3
ARNTL	NPAS1
ARNTL	NPAS2
ARNTL	NPAS3
ARNTL	NPAS4
ARNTL	NR1H3
ARNTL	NR3C1
ARNTL	POU3F1
ARNTL	POU3F2
ARNTL	RARA
ARNTL	RELB
ARNTL	RORC
ARNTL	RXRA
ARNTL	RXRG
ARNTL	TAL1
ARNTL	USF1
ARNTL	ZIC2
ARNTL2	CLOCK
ARNTL2	EPAS1
ARNTL2	HIF1A
ARNTL2	HIF3A
ARNTL2	NPAS1
ARNTL2	NPAS2
ARNTL2	NPAS3
ARNTL2	NPAS4
ARNTL2	RORC
ARX	TLX1
ARX	TLX2
ARX	TLX3
ASCL1	ATF1
ASCL1	ATF2
ASCL1	BATF
ASCL1	CREB1
ASCL1	DLX2
