chrom,start,end,tf,score,strand,region
chr12,55725912,55725927,ZNF418,500,+,chr12:55725882-55726482
chr12,55725939,55725958,RREB1,571,+,chr12:55725882-55726482
chr12,55726016,55726032,ZNF347,504,+,chr12:55725882-55726482
chr12,55726020,55726030,ZNF148,524,+,chr12:55725882-55726482
chr12,55726261,55726271,WT1,517,-,chr12:55725882-55726482
chr12,55726263,55726273,ZNF281,524,+,chr12:55725882-55726482
chr12,55726300,55726313,THRB,500,-,chr12:55725882-55726482
chr12,55726300,55726314,RXRG,507,-,chr12:55725882-55726482
chr12,55726300,55726314,PPARD,533,-,chr12:55725882-55726482
chr12,55726332,55726342,ZNF362,554,-,chr12:55725882-55726482
chr12,55726333,55726343,ZNF362,541,-,chr12:55725882-55726482
chr12,55726334,55726344,ZNF362,602,-,chr12:55725882-55726482
chr12,55726335,55726345,ZNF362,602,-,chr12:55725882-55726482
chr12,55726336,55726346,ZNF362,602,-,chr12:55725882-55726482
chr12,55726337,55726347,ZNF362,602,-,chr12:55725882-55726482
chr12,55726338,55726348,ZNF362,602,-,chr12:55725882-55726482
chr12,55726339,55726349,ZNF362,602,-,chr12:55725882-55726482
chr12,55726340,55726350,ZNF362,602,-,chr12:55725882-55726482
chr12,55726341,55726351,ZNF362,602,-,chr12:55725882-55726482
chr12,55726342,55726352,ZNF362,602,-,chr12:55725882-55726482
chr12,55726342,55726360,ZFP28,540,+,chr12:55725882-55726482
chr12,55726343,55726353,ZNF362,602,-,chr12:55725882-55726482
chr12,55726344,55726354,ZNF362,602,-,chr12:55725882-55726482
chr12,55726345,55726355,ZNF362,602,-,chr12:55725882-55726482
chr12,55726346,55726356,ZNF362,602,-,chr12:55725882-55726482
chr12,55726347,55726357,ZNF362,602,-,chr12:55725882-55726482
chr12,55726348,55726358,ZNF362,602,-,chr12:55725882-55726482
chr12,55726349,55726359,ZNF362,602,-,chr12:55725882-55726482
chr12,55726375,55726385,ZNF121,532,-,chr12:55725882-55726482
chr12,55726379,55726389,ZNF416,571,-,chr12:55725882-55726482
chr12,55726424,55726440,ZNF460,818,+,chr12:55725882-55726482
chr12,55726425,55726439,ZNF135,516,+,chr12:55725882-55726482
chr12,55726456,55726472,ZNF460,594,+,chr12:55725882-55726482
chr19,36028227,36028243,ZNF460,963,-,chr19:36028217-36028817
chr19,36028228,36028242,ZNF135,545,-,chr19:36028217-36028817
chr19,36028259,36028275,ZNF460,522,-,chr19:36028217-36028817
chr19,36028304,36028316,ZNF213,564,-,chr19:36028217-36028817
chr19,36028341,36028361,ZNF354A,533,+,chr19:36028217-36028817
chr19,36028343,36028354,FOXC1,519,+,chr19:36028217-36028817
chr19,36028343,36028354,FOXB1,514,+,chr19:36028217-36028817
chr19,36028343,36028354,FOXC2,544,+,chr19:36028217-36028817
chr19,36028343,36028357,FOXD3,640,+,chr19:36028217-36028817
chr19,36028347,36028358,FOXC2,513,+,chr19:36028217-36028817
chr19,36028347,36028361,FOXD3,588,+,chr19:36028217-36028817
chr19,36028351,36028362,FOXC2,513,+,chr19:36028217-36028817
chr19,36028351,36028365,FOXD3,541,+,chr19:36028217-36028817
chr19,36028359,36028370,IRF1,500,+,chr19:36028217-36028817
chr19,36028404,36028416,ZNF728,508,-,chr19:36028217-36028817
chr19,36028476,36028487,JUN::JUNB,554,+,chr19:36028217-36028817
chr19,36028476,36028489,FOS,519,+,chr19:36028217-36028817
chr19,36028477,36028486,CREB3L4,541,+,chr19:36028217-36028817
chr19,36028477,36028487,ATF3,502,+,chr19:36028217-36028817
chr19,36028477,36028487,ATF3,511,-,chr19:36028217-36028817
chr19,36028477,36028487,CREM,532,+,chr19:36028217-36028817
chr19,36028477,36028487,CREM,532,-,chr19:36028217-36028817
chr19,36028477,36028487,CREB5,506,-,chr19:36028217-36028817
chr19,36028477,36028487,FOSL2::JUN,502,+,chr19:36028217-36028817
chr19,36028477,36028488,FOSB::JUN,524,-,chr19:36028217-36028817
chr19,36028483,36028503,REST,673,+,chr19:36028217-36028817
chr19,36028490,36028510,ZNF623,659,-,chr19:36028217-36028817
chr19,36028504,36028516,HES7,551,+,chr19:36028217-36028817
chr19,36028504,36028516,HES7,588,-,chr19:36028217-36028817
chr19,36028504,36028516,CREB3L3,526,+,chr19:36028217-36028817
chr19,36028504,36028516,CREB3L3,534,-,chr19:36028217-36028817
chr19,36028505,36028515,HES5,524,+,chr19:36028217-36028817
chr19,36028505,36028515,HES5,524,-,chr19:36028217-36028817
chr19,36028505,36028515,HEY1,541,-,chr19:36028217-36028817
chr19,36028715,36028728,TFAP2B,508,+,chr19:36028217-36028817
chr19,36028715,36028728,TFAP2B,535,-,chr19:36028217-36028817
chr19,36028715,36028728,TFAP2C,523,+,chr19:36028217-36028817
chr19,36028715,36028728,TFAP2C,523,-,chr19:36028217-36028817
chr19,36028715,36028728,TFAP2A,521,-,chr19:36028217-36028817
chr19,36028715,36028728,TFAP2A,530,+,chr19:36028217-36028817
chr19,36028723,36028733,ZNF331,602,-,chr19:36028217-36028817
chr19,36028783,36028795,ZNF75A,510,+,chr19:36028217-36028817
chr1,7403435,7403446,ZNF831,503,-,chr1:7403363-7403963
chr1,7403437,7403448,ZNF831,510,+,chr1:7403363-7403963
chr1,7403462,7403472,NKX3-2,506,-,chr1:7403363-7403963
chr1,7403558,7403570,ZSCAN25,561,+,chr1:7403363-7403963
chr1,7403566,7403579,SPI1,538,+,chr1:7403363-7403963
chr1,7403566,7403580,ZNF530,559,+,chr1:7403363-7403963
chr1,7403742,7403751,HAND1::TCF3,511,+,chr1:7403363-7403963
chr1,7403772,7403781,MYOD1,511,-,chr1:7403363-7403963
chr1,7403776,7403796,REST,538,-,chr1:7403363-7403963
chr1,7403834,7403843,EBF2,541,+,chr1:7403363-7403963
chr1,7403834,7403843,EBF3,541,+,chr1:7403363-7403963
chr1,7403886,7403901,ZFP14,507,+,chr1:7403363-7403963
chr1,7403896,7403912,ZNF343,509,+,chr1:7403363-7403963
chr1,7403941,7403953,ZSCAN25,532,-,chr1:7403363-7403963
chr2,68062764,68062777,SPIB,510,-,chr2:68062734-68063334
chr2,68062766,68062776,ZBTB2,517,+,chr2:68062734-68063334
